Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Letter,Zone
1700075719.3687809,0,69319,0,GPS1_frame,42.33711624145508,-71.08953094482422,12.399999618530273,1.0,327863.0,4689321.5,19:15:19,T,19
1700075720.3970416,0,69320,0,GPS1_frame,42.33715057373047,-71.08953857421875,12.399999618530273,1.0,327862.0,4689325.5,19:15:20,T,19
1700075721.3883479,0,69321,0,GPS1_frame,42.33718490600586,-71.08956909179688,12.300000190734863,1.0,327859.75,4689329.0,19:15:21,T,19
1700075724.3932166,0,69324,0,GPS1_frame,42.33720779418945,-71.08970642089844,12.100000381469727,1.0,327848.4375,4689332.0,19:15:24,T,19
1700075725.388279,0,69325,0,GPS1_frame,42.33718490600586,-71.08975219726562,12.100000381469727,1.0,327844.9375,4689329.5,19:15:25,T,19
1700075726.3797722,0,69326,0,GPS1_frame,42.337158203125,-71.08978271484375,12.0,1.0,327842.25,4689326.5,19:15:26,T,19
1700075729.3847108,0,69329,0,GPS1_frame,42.337039947509766,-71.08980560302734,11.800000190734863,1.0,327839.71875,4689313.5,19:15:29,T,19
1700075730.3758,0,69330,0,GPS1_frame,42.33700180053711,-71.08978271484375,11.699999809265137,1.0,327841.5625,4689309.5,19:15:30,T,19
1700075731.3721633,0,69331,0,GPS1_frame,42.33697509765625,-71.0897445678711,11.800000190734863,1.0,327844.5,4689306.5,19:15:31,T,19
1700075734.3804884,0,69334,0,GPS1_frame,42.336978912353516,-71.08961486816406,12.199999809265137,1.0,327855.5,4689306.5,19:15:34,T,19
1700075735.368172,0,69335,0,GPS1_frame,42.33700180053711,-71.0895767211914,12.399999618530273,1.0,327858.71875,4689308.5,19:15:35,T,19
1700075736.3962152,0,69336,0,GPS1_frame,42.33702850341797,-71.08954620361328,12.5,1.0,327861.125,4689312.0,19:15:36,T,19
1700075739.3676677,0,69339,0,GPS1_frame,42.337127685546875,-71.08951568603516,12.600000381469727,1.0,327864.28125,4689322.5,19:15:39,T,19
1700075740.3923259,0,69340,0,GPS1_frame,42.33716583251953,-71.08950805664062,12.600000381469727,1.0,327864.65625,4689327.0,19:15:40,T,19
1700075741.383891,0,69341,0,GPS1_frame,42.33720016479492,-71.08950805664062,12.600000381469727,1.0,327864.75,4689331.0,19:15:41,T,19
1700075743.4040275,0,69343,0,GPS1_frame,42.337257385253906,-71.08952331542969,12.5,1.0,327863.9375,4689337.0,19:15:43,T,19
1700075744.3920205,0,69344,0,GPS1_frame,42.337276458740234,-71.08953094482422,12.600000381469727,1.0,327863.4375,4689339.5,19:15:44,T,19
1700075745.3841162,0,69345,0,GPS1_frame,42.337284088134766,-71.08953094482422,12.600000381469727,1.0,327863.0625,4689340.0,19:15:45,T,19
